TABLE_SCHEMA	TABLE_NAME	INDEX_NAME	NON_UNIQUE	COLUMNS_LIST
shenzhou_hr_dev	user_session	PRIMARY	0	session_id
shenzhou_hr_dev	user_session	uq_user_session_digest	0	token_digest
shenzhou_hr_test	audit_event	ix_audit_event_actor	1	actor_id_ref,occurred_at
shenzhou_hr_test	audit_event	ix_audit_event_occurred	1	occurred_at
shenzhou_hr_test	audit_event	ix_audit_event_resource	1	resource_type,resource_id_ref,occurred_at
shenzhou_hr_test	audit_event	PRIMARY	0	event_id
shenzhou_hr_test	audit_event	uq_audit_event_hash	0	event_hash
shenzhou_hr_test	auth_capability	PRIMARY	0	capability_id
shenzhou_hr_test	auth_capability	uq_auth_capability_code	0	capability_code
shenzhou_hr_test	auth_data_scope	fk_auth_scope_legal_entity	1	legal_entity_id
shenzhou_hr_test	auth_data_scope	fk_auth_scope_organization	1	organization_id
shenzhou_hr_test	auth_data_scope	ix_auth_scope_period	1	valid_from,valid_to
shenzhou_hr_test	auth_data_scope	PRIMARY	0	scope_id
shenzhou_hr_test	auth_principal	PRIMARY	0	principal_id
shenzhou_hr_test	auth_principal	uq_auth_principal_employee	0	employee_id
shenzhou_hr_test	auth_principal_role_assignment	fk_principal_role_role	1	role_id
shenzhou_hr_test	auth_principal_role_assignment	fk_principal_role_scope	1	data_scope_id
shenzhou_hr_test	auth_principal_role_assignment	ix_principal_role_active	1	principal_id,valid_from,valid_to
shenzhou_hr_test	auth_principal_role_assignment	PRIMARY	0	assignment_id
shenzhou_hr_test	auth_role	PRIMARY	0	role_id
shenzhou_hr_test	auth_role	uq_auth_role_code	0	role_code
shenzhou_hr_test	auth_role_capability	fk_role_capability_capability	1	capability_id
shenzhou_hr_test	auth_role_capability	PRIMARY	0	role_id,capability_id
shenzhou_hr_test	employee	ix_employee_legal_entity_status	1	legal_entity_id,employment_status
shenzhou_hr_test	employee	PRIMARY	0	employee_id
shenzhou_hr_test	employee_source_binding	ix_employee_binding_employee_period	1	employee_id,effective_from,effective_to
shenzhou_hr_test	employee_source_binding	PRIMARY	0	binding_id
shenzhou_hr_test	employee_source_binding	uq_employee_binding_deli_ext_current	0	deli_ext_id,current_marker
shenzhou_hr_test	employee_source_binding	uq_employee_binding_deli_number_current	0	deli_employee_num,current_marker
shenzhou_hr_test	employee_source_binding	uq_employee_binding_deli_user_current	0	deli_user_id,current_marker
shenzhou_hr_test	employee_source_binding	uq_employee_binding_employee_current	0	employee_id,current_marker
shenzhou_hr_test	employee_source_binding	uq_employee_binding_oa_code_current	0	seeyon_oa_code,current_marker
shenzhou_hr_test	employee_source_binding	uq_employee_binding_seeyon_person_current	0	seeyon_person_id,current_marker
shenzhou_hr_test	employment_assignment	ix_assignment_employee_period	1	employee_id,effective_from,effective_to
shenzhou_hr_test	employment_assignment	ix_assignment_org_period	1	organization_id,effective_from,effective_to
shenzhou_hr_test	employment_assignment	PRIMARY	0	assignment_id
shenzhou_hr_test	flyway_schema_history	flyway_schema_history_s_idx	1	success
shenzhou_hr_test	flyway_schema_history	PRIMARY	0	installed_rank
shenzhou_hr_test	legal_entity	PRIMARY	0	legal_entity_id
shenzhou_hr_test	legal_entity	uq_legal_entity_code	0	code
shenzhou_hr_test	local_account	ix_local_account_status_lock	1	status,locked_until
shenzhou_hr_test	local_account	PRIMARY	0	account_id
shenzhou_hr_test	local_account	uq_local_account_normalized_username	0	normalized_username
shenzhou_hr_test	local_account	uq_local_account_principal	0	principal_id
shenzhou_hr_test	login_failure_window	ix_login_failure_lock	1	locked_until,failure_count
shenzhou_hr_test	login_failure_window	PRIMARY	0	account_id
shenzhou_hr_test	organization_current_closure	ix_org_closure_descendant	1	descendant_organization_id,ancestor_organization_id
shenzhou_hr_test	organization_current_closure	PRIMARY	0	ancestor_organization_id,descendant_organization_id
shenzhou_hr_test	organization_current_projection	ix_org_projection_batch	1	projection_batch_id
shenzhou_hr_test	organization_current_projection	PRIMARY	0	organization_id
shenzhou_hr_test	organization_current_projection	uq_org_current_version	0	current_version_id
shenzhou_hr_test	organization_identity	ix_organization_identity_legal_entity	1	legal_entity_id,identity_status
shenzhou_hr_test	organization_identity	PRIMARY	0	organization_id
shenzhou_hr_test	organization_source_binding	ix_org_source_binding_identity_period	1	organization_id,effective_from,effective_to
shenzhou_hr_test	organization_source_binding	PRIMARY	0	source_binding_id
shenzhou_hr_test	organization_source_binding	uq_org_source_binding_current	0	source_system,source_org_id,current_marker
shenzhou_hr_test	organization_source_binding	uq_org_source_binding_identity_current	0	organization_id,source_system,current_marker
shenzhou_hr_test	organization_version	ix_org_version_parent_period	1	parent_organization_id,effective_from,effective_to
shenzhou_hr_test	organization_version	PRIMARY	0	organization_version_id
shenzhou_hr_test	organization_version	uq_org_version_current	0	organization_id,current_marker
shenzhou_hr_test	password_credential	PRIMARY	0	credential_id
shenzhou_hr_test	password_credential	uq_password_credential_account	0	account_id
shenzhou_hr_test	password_reset_grant	ix_password_reset_account_expiry	1	account_id,expires_at,used_at
shenzhou_hr_test	password_reset_grant	PRIMARY	0	grant_id
shenzhou_hr_test	password_reset_grant	uq_password_reset_digest	0	token_digest
shenzhou_hr_test	policy_publication_record	fk_policy_publication_actor	1	actor_id
shenzhou_hr_test	policy_publication_record	ix_policy_publication_request	1	request_id
shenzhou_hr_test	policy_publication_record	ix_policy_publication_template_time	1	template_id,occurred_at,publication_id
shenzhou_hr_test	policy_publication_record	ix_policy_publication_version_time	1	version_id,occurred_at,publication_id
shenzhou_hr_test	policy_publication_record	PRIMARY	0	publication_id
shenzhou_hr_test	policy_rollback_record	fk_policy_rollback_actor	1	actor_id
shenzhou_hr_test	policy_rollback_record	ix_policy_rollback_created	1	created_version_id
shenzhou_hr_test	policy_rollback_record	ix_policy_rollback_request	1	request_id
shenzhou_hr_test	policy_rollback_record	ix_policy_rollback_source	1	source_version_id
shenzhou_hr_test	policy_rollback_record	ix_policy_rollback_target	1	target_version_id
shenzhou_hr_test	policy_rollback_record	ix_policy_rollback_template_time	1	template_id,occurred_at,rollback_id
shenzhou_hr_test	policy_rollback_record	PRIMARY	0	rollback_id
shenzhou_hr_test	policy_scope_binding	ix_policy_scope_conflict	1	scope_type,scope_resource_id,priority,effective_from,effective_to,version_id
shenzhou_hr_test	policy_scope_binding	ix_policy_scope_version	1	version_id,priority,binding_id
shenzhou_hr_test	policy_scope_binding	PRIMARY	0	binding_id
shenzhou_hr_test	policy_scope_binding	uq_policy_scope_binding	0	version_id,scope_type,scope_resource_id,priority,effective_from
shenzhou_hr_test	policy_template	fk_policy_template_created_by	1	created_by
shenzhou_hr_test	policy_template	fk_policy_template_updated_by	1	updated_by
shenzhou_hr_test	policy_template	ix_policy_template_status_updated	1	status,updated_at,template_id
shenzhou_hr_test	policy_template	PRIMARY	0	template_id
shenzhou_hr_test	policy_template	uq_policy_template_code	0	template_code
shenzhou_hr_test	policy_version	fk_policy_version_created_by	1	created_by
shenzhou_hr_test	policy_version	fk_policy_version_updated_by	1	updated_by
shenzhou_hr_test	policy_version	ix_policy_version_lifecycle	1	template_id,status,effective_from,effective_to,version_number
shenzhou_hr_test	policy_version	ix_policy_version_rollback	1	rollback_of_version_id
shenzhou_hr_test	policy_version	PRIMARY	0	version_id
shenzhou_hr_test	policy_version	uq_policy_version_number	0	template_id,version_number
shenzhou_hr_test	session_revocation	fk_session_revocation_session	1	session_id
shenzhou_hr_test	session_revocation	ix_session_revocation_account_time	1	account_id,revoked_at
shenzhou_hr_test	session_revocation	PRIMARY	0	revocation_id
shenzhou_hr_test	user_session	ix_user_session_active	1	account_id,status,idle_expires_at,absolute_expires_at
shenzhou_hr_test	user_session	PRIMARY	0	session_id
shenzhou_hr_test	user_session	uq_user_session_digest	0	token_digest
